UUID	Subsection	Statement	Absolute Condition	Individual Condition	Audit Condition	Refs

9E89F59D-68FC-4B0E-966E-B42E3D28B02E			ALWAYS	ALWAYS	ALWAYS	-
C2821B0C-9FAA-4ADA-9E28-E324E1502983			ALWAYS	ALWAYS	ALWAYS	-
029C0087-812D-4627-9902-355531CCB609			ALWAYS	ALWAYS	ALWAYS	-
384DB760-1764-4093-835E-FDAC862118E5			ALWAYS	ALWAYS	ALWAYS	-
FC944379-FE14-4B43-80B2-3F142F71835F			ALWAYS	ALWAYS	ALWAYS	-
0BF48F75-8EB4-4CA2-B2E5-D08D301D05A7			ALWAYS	ALWAYS	ALWAYS	-
A7FB919D-E623-44F0-8177-CEE101877166			ALWAYS	ALWAYS	ALWAYS	-
E0D9054C-F0D1-4CDA-BAB5-DD8AA3BEE472			ALWAYS	ALWAYS	ALWAYS	-
5B0BF0FF-171A-401A-8BC7-5228B63D6A70			ALWAYS	ALWAYS	ALWAYS	-
